request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=H&c-r-id=70825	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4820	"HOUSE DISTRICT 111"	1228	1698905.12
s=NC&c-exi=1&c-r-ot=H&c-r-id=55183	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4807	"HOUSE DISTRICT 098"	1619	1653175.85
s=NC&c-exi=1&c-r-ot=H&c-r-id=48566	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4809	"HOUSE DISTRICT 100"	1918	1452525.93
s=NC&c-exi=1&c-r-ot=H&c-r-id=17982	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4809	"HOUSE DISTRICT 100"	1481	1338048.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=36461	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4763	"HOUSE DISTRICT 054"	3057	1300710.62
s=NC&c-exi=1&c-r-ot=H&c-r-id=60983	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4750	"HOUSE DISTRICT 041"	1696	1262874.27
s=NC&c-exi=1&c-r-ot=H&c-r-id=61058	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4825	"HOUSE DISTRICT 116"	2517	1088810.32
s=NC&c-exi=1&c-r-ot=H&c-r-id=23636	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4745	"HOUSE DISTRICT 036"	970	1030728.00
s=NC&c-exi=1&c-r-ot=H&c-r-id=7802	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4761	"HOUSE DISTRICT 052"	1480	1008343.78
s=NC&c-exi=1&c-r-ot=H&c-r-id=31351	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4809	"HOUSE DISTRICT 100"	1335	1007779.27
s=NC&c-exi=1&c-r-ot=H&c-r-id=70677	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4758	"HOUSE DISTRICT 049"	1765	987198.02
s=NC&c-exi=1&c-r-ot=H&c-r-id=51213	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4763	"HOUSE DISTRICT 054"	1433	923944.96
s=NC&c-exi=1&c-r-ot=H&c-r-id=60991	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4758	"HOUSE DISTRICT 049"	1154	899364.38
s=NC&c-exi=1&c-r-ot=H&c-r-id=8817	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4761	"HOUSE DISTRICT 052"	1549	896787.42
s=NC&c-exi=1&c-r-ot=H&c-r-id=38838	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4786	"HOUSE DISTRICT 077"	324	886868.50
s=NC&c-exi=1&c-r-ot=H&c-r-id=70761	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4744	"HOUSE DISTRICT 035"	609	853940.71
s=NC&c-exi=1&c-r-ot=H&c-r-id=61057	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4824	"HOUSE DISTRICT 115"	1446	799494.64
s=NC&c-exi=1&c-r-ot=H&c-r-id=38846	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4825	"HOUSE DISTRICT 116"	1126	729951.68
