request	Target_District:token	Target_District:id	Target_District	#_of_Records	Total_$
n/a	is-t-tdis			195	924452.43
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=51	is-t-tdis	51	51	125	590191.77
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=41	is-t-tdis	41	41	135	502663.02
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=115	is-t-tdis	115	115	95	425935.51
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=116	is-t-tdis	116	116	85	356454.59
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=49	is-t-tdis	49	49	93	305995.08
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=2	is-t-tdis	2	2	51	276588.44
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=	is-t-tdis			65	255091.14
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=98	is-t-tdis	98	98	9	232279.77
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=93	is-t-tdis	93	93	82	223811.50
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=36	is-t-tdis	36	36	26	207019.35
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=118	is-t-tdis	118	118	48	203713.54
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=3	is-t-tdis	3	3	40	156984.06
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=45	is-t-tdis	45	45	40	145323.91
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=81	is-t-tdis	81	81	31	137507.08
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=H&is-t-tdis=22	is-t-tdis	22	22	20	129821.79
