request	Election_Jurisdiction:token	Election_Jurisdiction:id	Election_Jurisdiction	Election_Year:token	Election_Year:id	Election_Year	Election_Type:token	Election_Type:id	Election_Type	Office_Sought:token	Office_Sought:id	Office_Sought	#_of_Records	Total_$
s=NC&c-exi=1&c-r-ot=S&c-r-id=61080	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4848	"SENATE DISTRICT 018"	2520	2167601.47
s=NC&c-exi=1&c-r-ot=S&c-r-id=61088	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4856	"SENATE DISTRICT 026"	1829	2151101.26
s=NC&c-exi=1&c-r-ot=S&c-r-id=28347	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4831	"SENATE DISTRICT 001"	1990	1708598.07
s=NC&c-exi=1&c-r-ot=S&c-r-id=61077	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4845	"SENATE DISTRICT 015"	1515	1683458.04
s=NC&c-exi=1&c-r-ot=S&c-r-id=51194	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4831	"SENATE DISTRICT 001"	1282	1606894.19
s=NC&c-exi=1&c-r-ot=S&c-r-id=1105	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4831	"SENATE DISTRICT 001"	1539	1577720.17
s=NC&c-exi=1&c-r-ot=S&c-r-id=9795	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4831	"SENATE DISTRICT 001"	1537	1553519.03
s=NC&c-exi=1&c-r-ot=S&c-r-id=36327	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4831	"SENATE DISTRICT 001"	1834	1534062.85
s=NC&c-exi=1&c-r-ot=S&c-r-id=14856	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4856	"SENATE DISTRICT 026"	1390	1517042.32
s=NC&c-exi=1&c-r-ot=S&c-r-id=61081	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4849	"SENATE DISTRICT 019"	1086	1438461.80
s=NC&c-exi=1&c-r-ot=S&c-r-id=14855	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4848	"SENATE DISTRICT 018"	1456	1366902.66
s=NC&c-exi=1&c-r-ot=S&c-r-id=9797	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4832	"SENATE DISTRICT 002"	943	1342362.73
s=NC&c-exi=1&c-r-ot=S&c-r-id=17931	s	NC	NC	y	2002	2002	c-r-t	1	Standard	c-r-osid	4870	"SENATE DISTRICT 040"	1721	1313278.23
s=NC&c-exi=1&c-r-ot=S&c-r-id=12787	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4877	"SENATE DISTRICT 047"	1037	1290489.07
s=NC&c-exi=1&c-r-ot=S&c-r-id=12768	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4840	"SENATE DISTRICT 010"	1306	1245342.61
s=NC&c-exi=1&c-r-ot=S&c-r-id=32465	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4839	"SENATE DISTRICT 009"	1699	1212565.44
s=NC&c-exi=1&c-r-ot=S&c-r-id=61063	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4831	"SENATE DISTRICT 001"	1192	1211821.85
s=NC&c-exi=1&c-r-ot=S&c-r-id=36322	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4849	"SENATE DISTRICT 019"	932	1168662.80
s=NC&c-exi=1&c-r-ot=S&c-r-id=61071	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4839	"SENATE DISTRICT 009"	2330	1135148.43
s=NC&c-exi=1&c-r-ot=S&c-r-id=23655	s	NC	NC	y	2000	2000	c-r-t	1	Standard	c-r-osid	4831	"SENATE DISTRICT 001"	1004	1080393.00
s=NC&c-exi=1&c-r-ot=S&c-r-id=36323	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4854	"SENATE DISTRICT 024"	706	1079997.08
s=NC&c-exi=1&c-r-ot=S&c-r-id=33116	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4839	"SENATE DISTRICT 009"	920	1067812.89
s=NC&c-exi=1&c-r-ot=S&c-r-id=33109	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4854	"SENATE DISTRICT 024"	809	1046066.98
s=NC&c-exi=1&c-r-ot=S&c-r-id=10722	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4846	"SENATE DISTRICT 016"	2375	1019887.85
s=NC&c-exi=1&c-r-ot=S&c-r-id=70690	s	NC	NC	y	2016	2016	c-r-t	1	Standard	c-r-osid	4856	"SENATE DISTRICT 026"	687	1017469.56
s=NC&c-exi=1&c-r-ot=S&c-r-id=12789	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4880	"SENATE DISTRICT 050"	510	996545.48
s=NC&c-exi=1&c-r-ot=S&c-r-id=10718	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4835	"SENATE DISTRICT 005"	1512	994796.92
s=NC&c-exi=1&c-r-ot=S&c-r-id=33097	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4838	"SENATE DISTRICT 008"	648	992890.41
s=NC&c-exi=1&c-r-ot=S&c-r-id=10704	s	NC	NC	y	2008	2008	c-r-t	1	Standard	c-r-osid	4876	"SENATE DISTRICT 046"	1114	979898.69
s=NC&c-exi=1&c-r-ot=S&c-r-id=38862	s	NC	NC	y	2012	2012	c-r-t	1	Standard	c-r-osid	4880	"SENATE DISTRICT 050"	667	959881.34
s=NC&c-exi=1&c-r-ot=S&c-r-id=61078	s	NC	NC	y	2014	2014	c-r-t	1	Standard	c-r-osid	4846	"SENATE DISTRICT 016"	1467	943353.63
s=NC&c-exi=1&c-r-ot=S&c-r-id=12777	s	NC	NC	y	2010	2010	c-r-t	1	Standard	c-r-osid	4838	"SENATE DISTRICT 008"	1398	941562.80
s=NC&c-exi=1&c-r-ot=S&c-r-id=28308	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4832	"SENATE DISTRICT 002"	1392	894299.23
s=NC&c-exi=1&c-r-ot=S&c-r-id=9761	s	NC	NC	y	2006	2006	c-r-t	1	Standard	c-r-osid	4880	"SENATE DISTRICT 050"	1223	892166.17
s=NC&c-exi=1&c-r-ot=S&c-r-id=7819	s	NC	NC	y	2004	2004	c-r-t	1	Standard	c-r-osid	4839	"SENATE DISTRICT 009"	2191	880832.70
