request	Target_District:token	Target_District:id	Target_District	#_of_Records	Total_$
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=1	is-t-tdis	1	1	51	1251893.49
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=18	is-t-tdis	18	18	46	990572.65
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=12	is-t-tdis	12	12	48	960654.89
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=50	is-t-tdis	50	50	44	431836.72
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=47	is-t-tdis	47	47	36	421004.71
n/a	is-t-tdis			96	417563.50
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=24	is-t-tdis	24	24	44	352369.61
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=9	is-t-tdis	9	9	50	338317.01
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=25	is-t-tdis	25	25	51	323761.98
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=19	is-t-tdis	19	19	64	320829.61
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=15	is-t-tdis	15	15	34	220602.34
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=45	is-t-tdis	45	45	38	194395.58
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=46	is-t-tdis	46	46	22	149736.07
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=5	is-t-tdis	5	5	23	148573.50
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=21	is-t-tdis	21	21	11	142038.53
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=	is-t-tdis			43	116560.24
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=17	is-t-tdis	17	17	13	69059.21
dt=2&is-s=NC&f-fc=1,2,3&is-r-ot=S&is-t-tdis=33	is-t-tdis	33	33	3	66114.56
